id,index,Event Date,Pref_days,pref_times,pref_topic
7419107040,24,2024-09-12,Wednesdays,4pm - 6pm, lessons learned
7419107040,24,2024-09-12,Wednesdays,4pm - 6pm, success stories
7419107040,24,2024-09-12,Wednesdays,4pm - 6pm, how to start
7419107040,24,2024-09-12, Thursdays,4pm - 6pm,Entrepreneurship journey
7419107040,24,2024-09-12, Thursdays,4pm - 6pm, lessons learned
7419107040,24,2024-09-12, Thursdays,4pm - 6pm, success stories
7419107040,24,2024-09-12, Thursdays,4pm - 6pm, how to start
7574451127,25,2024-09-17,Tuesdays,4pm - 6pm,Rules and regulations as a employer/entrepreneur
7574451127,25,2024-09-17,Tuesdays,4pm - 6pm, funding
7574452983,26,2024-09-17,Mondays,4pm - 6pm,Start_up related
7574452983,26,2024-09-17, Tuesdays,4pm - 6pm,Start_up related
7574452983,26,2024-09-17, Wednesdays,4pm - 6pm,Start_up related
7574452983,26,2024-09-17, Thursdays,4pm - 6pm,Start_up related
7574452983,26,2024-09-17, Fridays,4pm - 6pm,Start_up related
7574456170,27,2024-09-17,Tuesdays,2pm - 4pm,Experienced speakers
7574456170,27,2024-09-17,Tuesdays,2pm - 4pm, business theories and models
7574456170,27,2024-09-17,Tuesdays,2pm - 4pm, trends
7574456170,27,2024-09-17,Tuesdays, 4pm - 6pm,Experienced speakers
7574456170,27,2024-09-17,Tuesdays, 4pm - 6pm, business theories and models
7574456170,27,2024-09-17,Tuesdays, 4pm - 6pm, trends
7574456170,27,2024-09-17,Tuesdays, 6pm - 8pm,Experienced speakers
7574456170,27,2024-09-17,Tuesdays, 6pm - 8pm, business theories and models
7574456170,27,2024-09-17,Tuesdays, 6pm - 8pm, trends
7574456170,27,2024-09-17, Thursdays,2pm - 4pm,Experienced speakers
7574456170,27,2024-09-17, Thursdays,2pm - 4pm, business theories and models
7574456170,27,2024-09-17, Thursdays,2pm - 4pm, trends
7574456170,27,2024-09-17, Thursdays, 4pm - 6pm,Experienced speakers
7574456170,27,2024-09-17, Thursdays, 4pm - 6pm, business theories and models
7574456170,27,2024-09-17, Thursdays, 4pm - 6pm, trends
7574456170,27,2024-09-17, Thursdays, 6pm - 8pm,Experienced speakers
